Generated by http://statistics.gov.scot,2020-09-15T08:56:14+00:00
http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries,Population Estimates (Current Geographic Boundaries)
Reference Period,2018
Age,All
Sex,All
Measure (cell values): ,Count(People)

,,http://statistics.gov.scot/def/measure-properties/count
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Count
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,5438100
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,227560
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,261470
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,116040
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,86260
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,518500
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,51400
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,148790
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,148750
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,121840
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,108330
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,105790
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,95170
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,160340
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,371910
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,626410
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,235540
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,78150
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,91340
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,95520
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,26830
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,135280
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,340180
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,22190
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,151290
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,177790
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,115270
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,22990
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,112550
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,319020
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,94330
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,89130
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,182140
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,83675
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,80156
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,79644
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,80855
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,76516
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,70478
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,86477
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,70839
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,72926
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,60394
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,75598
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,75612
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",69767
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",75928
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,68728
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,70398
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,72548
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,72162
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,71913
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,64322
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,69233
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,66047
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,72921
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,75849
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,70971
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,77779
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,77005
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,77300
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,79505
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,71066
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,94040
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,86488
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,93605
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,77633
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,81639
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,85095
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",68019
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,80482
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,79858
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,72941
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,75114
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,74809
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,93212
